,media_name,body_div
0,chinanews.com,div.left_zw
1,xinhuanet.com,div#p-detail
2,voc.com.cn,div#content
3,people.com.cn,div.rm_txt_con.cf
7,01ny.cn,div.hide_me.P.H
10,bjd.com.cn,div.bjd-not-found__con
11,hangzhou.com.cn,td.Dlife_bcolor02
12,lyd.com.cn,div.page-bottom-word
14,china.com.cn,div.articleBody
15,chinadaily.com.cn,div.article
17,yangtse.com,div.error-card
18,cctv.com,div.cnt_bd
21,qstheory.cn,div.highlight
22,zjol.com.cn,div.contTxt
23,cri.cn,div.abody
24,ycwb.com,div.main_article
26,rednet.cn,section.f_right.detail_article_content
27,qianlong.com,div.article-content
31,xmnn.cn,div.m1
33,66wz.com,div#artibody
35,yunnan.cn,div#layer216
38,fynews.net,body
39,cjn.cn,div.footer
41,81.cn,div.container
